Jackson State,52,Oregon,80
Oregon,80,Jackson State,52
Missouri State,65,Oral Roberts,80
Oral Roberts,80,Missouri State,65
Pennsylvania,76,Robert Morris,75
North Carolina A&T,40,Purdue,81
Robert Morris,75,Pennsylvania,76
Old Dominion,67,Niagara,50
Massachusetts-Lowell,57,Northwestern,79
Northwestern,79,Massachusetts-Lowell,57
Cal State Northridge,71,Northern Illinois,83
Northern Illinois,83,Cal State Northridge,71
Notre Dame,87,Saint Francis (PA),56
Tennessee-Martin,57,Oklahoma State,91
Niagara,50,Old Dominion,67
Saint Francis (PA),56,Notre Dame,87
Oklahoma State,91,Tennessee-Martin,57
Saint Joseph's,82,Drexel,81
Sacred Heart,76,Quinnipiac,64
Drexel,81,Saint Joseph's,82
Illinois State,60,San Diego State,71
San Diego State,71,Illinois State,60
Brown,65,Saint Peter's,77
Saint Peter's,77,Brown,65
Quinnipiac,64,Sacred Heart,76
Rhode Island,65,American,42
James Madison,87,Richmond,75
Purdue,81,North Carolina A&T,40
American,42,Rhode Island,65
Richmond,75,James Madison,87
Princeton,64,Rider,56
Rider,56,Princeton,64
Wofford,74,Missouri,83
Boise State,72,Montana,74
Mississippi State,106,Eastern Washington,88
Missouri,83,Wofford,74
Montana,74,Boise State,72
Eastern Washington,88,Mississippi State,106
Florida Atlantic,55,Michigan State,82
Texas-Rio Grande Valley,59,Miami (FL),86
Michigan State,82,Florida Atlantic,55
Mississippi,90,Northwestern State,76
Northwestern State,76,Mississippi,90
Minnesota,76,Missouri-Kansas City,58
Missouri-Kansas City,58,Minnesota,76
North Carolina State,68,William & Mary,85
William & Mary,85,North Carolina State,68
Houston Baptist,69,New Mexico State,91
New Mexico State,91,Houston Baptist,69
Texas Southern,57,New Mexico,86
UC-Santa Barbara,60,Nebraska-Omaha,59
Nebraska-Omaha,59,UC-Santa Barbara,60
Florida,59,Navy,41
Navy,41,Florida,59
Cal Poly,72,Nevada-Las Vegas,74
New Mexico,86,Texas Southern,57
Nevada-Las Vegas,74,Cal Poly,72
Lipscomb,65,Santa Clara,63
Morgan State,48,Virginia,86
Virginia,86,Morgan State,48
Fairleigh Dickinson,54,Villanova,91
Villanova,91,Fairleigh Dickinson,54
Prairie View,50,Virginia Commonwealth,75
Wake Forest,78,Maryland-Baltimore County,73
Texas,71,Washington,77
Virginia Commonwealth,75,Prairie View,50
Maryland-Baltimore County,73,Wake Forest,78
Vanderbilt,80,Austin Peay,41
Monmouth,84,UCLA,81
UCLA,81,Monmouth,84
Alabama A&M,68,Tulane,67
Tulane,67,Alabama A&M,68
Southern Utah,71,Utah,82
Valparaiso,78,IPFW,64
Austin Peay,41,Vanderbilt,80
Utah,82,Southern Utah,71
IPFW,64,Valparaiso,78
Wright State,77,South Dakota,69
Wisconsin,67,Western Illinois,69
South Dakota,69,Wright State,77
Fairfield,57,Yale,70
Yale,70,Fairfield,57
Miami (OH),72,Xavier,81
Xavier,81,Miami (OH),72
Western Illinois,69,Wisconsin,67
Washington State,82,Northern Arizona,70
Utah State,73,Weber State,70
Washington,77,Texas,71
Northern Arizona,70,Washington State,82
Weber State,70,Utah State,73
Charleston Southern,63,Wichita State,88
Wichita State,88,Charleston Southern,63
Northern Kentucky,61,West Virginia,107
West Virginia,107,Northern Kentucky,61
Texas Tech,77,High Point,73
Troy,82,South Florida,77
San Diego,45,Southern California,83
South Florida,77,Troy,82
Southern California,83,San Diego,45
Arkansas State,70,Southern Illinois-Edwardsville,79
Southern Illinois-Edwardsville,79,Arkansas State,70
Air Force,75,Southern Illinois,77
Southern Illinois,77,Air Force,75
Arkansas-Pine Bluff,58,Seattle,56
Santa Clara,63,Lipscomb,65
Seattle,56,Arkansas-Pine Bluff,58
Dartmouth,67,Seton Hall,84
Seton Hall,84,Dartmouth,67
South Carolina Upstate,64,Texas A&M,104
Texas A&M,104,South Carolina Upstate,64
North Carolina-Asheville,78,Tennessee,82
Tennessee,82,North Carolina-Asheville,78
Texas Christian,90,Southeastern Louisiana,77
High Point,73,Texas Tech,77
Southeastern Louisiana,77,Texas Christian,90
Temple,67,North Carolina,91
St. John's (NY),66,Wagner,57
Wagner,57,St. John's (NY),66
Binghamton,53,St. Bonaventure,63
St. Bonaventure,63,Binghamton,53
Green Bay,89,Stanford,93
Syracuse,57,Lehigh,47
North Carolina,91,Temple,67
Stanford,93,Green Bay,89
Lehigh,47,Syracuse,57
South Carolina State,54,College of Charleston,74
Nevada,73,Coastal Carolina,56
College of Charleston,74,South Carolina State,54
Dayton,84,Southeast Missouri State,53
Southeast Missouri State,53,Dayton,84
Connecticut,100,Maine,56
Maine,56,Connecticut,100
Coastal Carolina,56,Nevada,73
Elon,85,Charlotte,74
Jacksonville State,83,Central Michigan,89
Charlotte,74,Elon,85
Clemson,74,North Carolina Central,40
North Carolina Central,40,Clemson,74
Cincinnati,97,Western Carolina,72
Western Carolina,72,Cincinnati,97
Coppin State,80,Eastern Kentucky,107
Eastern Kentucky,107,Coppin State,80
East Carolina,61,Grambling,53
Grambling,53,East Carolina,61
Eastern Michigan,70,Vermont,50
Vermont,50,Eastern Michigan,70
Denver,58,Milwaukee,71
Milwaukee,71,Denver,58
Delaware,62,Delaware State,56
Delaware State,56,Delaware,62
Siena,74,Duke,92
Duke,92,Siena,74
Central Michigan,89,Jacksonville State,83
Alabama-Birmingham,74,Auburn,75
Auburn,75,Alabama-Birmingham,74
Baylor,97,Stephen F. Austin,55
Boston University,84,Northeastern,87
Stephen F. Austin,55,Baylor,97
Southern,68,Arkansas,86
Alabama,77,Kennesaw State,64
Kennesaw State,64,Alabama,77
Arizona,79,Pacific,61
Sacramento State,66,Arizona State,63
Arkansas,86,Southern,68
Pacific,61,Arizona,79
Arizona State,63,Sacramento State,66
North Dakota State,79,UC-Davis,71
Rice,65,University of California,97
UC-Davis,71,North Dakota State,79
Central Connecticut State,83,Hartford,92
Hartford,92,Central Connecticut State,83
University of California,97,Rice,65
Bradley,54,Ball State,53
Brigham Young,85,Utah Valley,54
Northeastern,87,Boston University,84
Ball State,53,Bradley,54
Utah Valley,54,Brigham Young,85
Louisiana State,81,McNeese State,70
McNeese State,70,Louisiana State,81
Northern Colorado,72,Kansas,109
Kansas State,80,Maryland-Eastern Shore,53
Iowa State,68,Colorado,62
Kansas,109,Northern Colorado,72
Maryland-Eastern Shore,53,Kansas State,80
Albany (NY),65,Kentucky,78
Kentucky,78,Albany (NY),65
Belmont,83,Marquette,80
Marquette,80,Belmont,83
Holy Cross,67,Marist,64
Marist,64,Holy Cross,67
Maryland,80,Mount St. Mary's,56
Miami (FL),86,Texas-Rio Grande Valley,59
Mount St. Mary's,56,Maryland,80
Tennessee State,86,Loyola (MD),71
Louisville,86,Samford,45
Samford,45,Louisville,86
Loyola (IL),70,Texas-San Antonio,64
Loyola Marymount,79,Cal State Fullerton,74
Loyola (MD),71,Tennessee State,86
Texas-San Antonio,64,Loyola (IL),70
Cal State Fullerton,74,Loyola Marymount,79
Colorado,62,Iowa State,68
Cornell,81,Georgia Tech,116
Portland State,72,Grand Canyon,82
Georgia Tech,116,Cornell,81
Grand Canyon,82,Portland State,72
Georgia,90,Chattanooga,92
Furman,63,Presbyterian,53
Presbyterian,53,Furman,63
Fresno State,69,Pepperdine,66
Pepperdine,66,Fresno State,69
Colgate,66,George Mason,53
Lafayette,76,George Washington,85
Chattanooga,92,Georgia,90
George Mason,53,Colgate,66
George Washington,85,Lafayette,76
Eastern Illinois,49,Indiana,88
San Francisco,78,Illinois-Chicago,75
Indiana,88,Eastern Illinois,49
Gardner-Webb,59,Iowa,76
Iowa,76,Gardner-Webb,59
Indiana State,70,IUPUI,72
IUPUI,72,Indiana State,70
Illinois-Chicago,75,San Francisco,78
Montana State,76,Hawaii,87
Canisius,85,Hofstra,96
Hawaii,87,Montana State,76
Hofstra,96,Canisius,85
Illinois,81,North Florida,93
North Florida,93,Illinois,81
Virginia Military Institute,50,Penn State,62
Harvard,64,Providence,76
Providence,76,Harvard,64
Penn State,62,Virginia Military Institute,50
Santa Clara,33,Denver,55
Norfolk State,69,South Carolina,84
South Carolina,84,Norfolk State,69
Idaho,74,San Jose State,54
San Jose State,54,Idaho,74
Denver,55,Santa Clara,33
Nebraska,97,Mississippi Valley State,51
Mississippi Valley State,51,Nebraska,97
Northern Iowa,78,Colorado State,84
Florida Gulf Coast,75,Ohio,85
Ohio,85,Florida Gulf Coast,75
Northern Illinois,72,South Dakota,65
South Dakota,65,Northern Illinois,72
